,State,County,Year,Deaths,Population,Treatment,death_prop
496,Florida,Columbia,2004,0.0,61457.0,Treatment,0.0
497,Florida,DeSoto,2004,4.0,34240.0,Treatment,0.00011682242990654206
498,Florida,Dixie,2004,7.0,14199.0,Treatment,0.0004929924642580463
499,Florida,Flagler,2004,2.0,68241.0,Treatment,2.930789408127079e-05
500,Florida,Franklin,2004,8.0,9981.0,Treatment,0.0008015228934976455
501,Florida,Gadsden,2004,0.0,45506.0,Treatment,0.0
502,Florida,Gilchrist,2004,1.0,15714.0,Treatment,6.363752068219422e-05
503,Florida,Glades,2004,5.0,11123.0,Treatment,0.00044951901465431986
504,Florida,Gulf,2004,1.0,15364.0,Treatment,6.508721687060662e-05
505,Florida,Hamilton,2004,5.0,13894.0,Treatment,0.00035986756873470564
506,Florida,Hardee,2004,8.0,27657.0,Treatment,0.00028925769244675853
507,Florida,Hendry,2004,6.0,37221.0,Treatment,0.00016119932296284356
508,Florida,Highlands,2004,1.0,92752.0,Treatment,1.0781438675176815e-05
509,Florida,Holmes,2004,1.0,18819.0,Treatment,5.313778627982358e-05
510,Florida,Jackson,2004,6.0,47424.0,Treatment,0.00012651821862348178
511,Florida,Jefferson,2004,5.0,13723.0,Treatment,0.0003643518181155724
512,Florida,Lafayette,2004,6.0,7438.0,Treatment,0.0008066684592632429
513,Florida,Leon,2004,3.0,250863.0,Treatment,1.1958718503725141e-05
514,Florida,Levy,2004,1.0,36729.0,Treatment,2.7226442320781944e-05
515,Florida,Liberty,2004,4.0,7292.0,Treatment,0.0005485463521667581
516,Florida,Madison,2004,2.0,18859.0,Treatment,0.00010605016172649663
517,Florida,Okeechobee,2004,2.0,38672.0,Treatment,5.17170045510964e-05
518,Florida,Sumter,2004,5.0,60069.0,Treatment,8.323761008173933e-05
519,Florida,Suwannee,2004,5.0,37103.0,Treatment,0.00013475999245344042
520,Florida,Taylor,2004,4.0,19573.0,Treatment,0.0002043631533234558
521,Florida,Union,2004,5.0,14086.0,Treatment,0.0003549623739883572
522,Florida,Wakulla,2004,8.0,26691.0,Treatment,0.00029972649956914316
523,Florida,Walton,2004,6.0,47684.0,Treatment,0.00012582837010317925
524,Florida,Washington,2004,2.0,21651.0,Treatment,9.237448616692069e-05
525,Florida,Alachua,2005,9.0,231849.0,Treatment,3.8818368852140834e-05
526,Florida,Baker,2005,9.0,24382.0,Treatment,0.00036912476417028957
527,Florida,Bradford,2005,8.0,28191.0,Treatment,0.0002837785108722642
528,Florida,Calhoun,2005,2.0,13352.0,Treatment,0.00014979029358897544
529,Florida,DeSoto,2005,8.0,34258.0,Treatment,0.00023352209702843133
530,Florida,Dixie,2005,5.0,14600.0,Treatment,0.00034246575342465754
531,Florida,Flagler,2005,0.0,75420.0,Treatment,0.0
532,Florida,Franklin,2005,7.0,10055.0,Treatment,0.00069617105917454
533,Florida,Gadsden,2005,7.0,45863.0,Treatment,0.00015262848047445653
534,Florida,Gilchrist,2005,5.0,16217.0,Treatment,0.00030831843127582167
535,Florida,Glades,2005,7.0,11270.0,Treatment,0.0006211180124223603
536,Florida,Gulf,2005,3.0,15658.0,Treatment,0.00019159535061949164
537,Florida,Hamilton,2005,8.0,13762.0,Treatment,0.0005813108559802354
538,Florida,Hardee,2005,9.0,27846.0,Treatment,0.0003232062055591467
539,Florida,Hendry,2005,5.0,38521.0,Treatment,0.00012979933023545597
540,Florida,Highlands,2005,6.0,95174.0,Treatment,6.304242755374367e-05
541,Florida,Holmes,2005,1.0,18882.0,Treatment,5.296049147336087e-05
542,Florida,Jackson,2005,5.0,48460.0,Treatment,0.0001031778786628147
543,Florida,Jefferson,2005,8.0,13831.0,Treatment,0.0005784108162822645
544,Florida,Lafayette,2005,5.0,7868.0,Treatment,0.0006354855109303507
545,Florida,Levy,2005,0.0,37357.0,Treatment,0.0
546,Florida,Liberty,2005,5.0,7577.0,Treatment,0.0006598917777484492
547,Florida,Madison,2005,2.0,18801.0,Treatment,0.00010637732035530025
548,Florida,Monroe,2005,9.0,76135.0,Treatment,0.00011821107243711827
549,Florida,Okeechobee,2005,1.0,39380.0,Treatment,2.5393600812595227e-05
550,Florida,Putnam,2005,8.0,72750.0,Treatment,0.00010996563573883161
551,Florida,St. Johns,2005,7.0,160508.0,Treatment,4.361153338151369e-05
552,Florida,Sumter,2005,7.0,63405.0,Treatment,0.00011040138790316222
553,Florida,Suwannee,2005,9.0,38055.0,Treatment,0.0002364998029168309
554,Florida,Taylor,2005,4.0,19861.0,Treatment,0.00020139972811036706
555,Florida,Union,2005,8.0,14350.0,Treatment,0.0005574912891986063
556,Florida,Wakulla,2005,4.0,27799.0,Treatment,0.0001438900679880571
557,Florida,Washington,2005,8.0,21822.0,Treatment,0.0003666025112272019
558,Florida,Alachua,2006,6.0,237199.0,Treatment,2.5295216253019616e-05
