State,County,MME,Population,Year,Treatment,_merge,Prescr_rate
Florida,Hamilton,1207013248.9,14324.0,2013,Treatment,both,84265.0969631388
Florida,Hamilton,575481588.4125,14051.0,2014,Treatment,both,40956.6285967191
Florida,Hardee,6248145410.46,28192.0,2006,Treatment,both,221628.31336762203
Florida,Hardee,6947580139.395,28832.0,2007,Treatment,both,240967.67964050363
Florida,Hardee,8206668587.43,29135.0,2008,Treatment,both,281677.315511584
Florida,Hardee,10702648521.0925,29415.0,2009,Treatment,both,363850.0262142615
Florida,Hardee,12092687074.215,27731.0,2010,Treatment,both,436071.0783677112
Florida,Hardee,14508895072.2925,27645.0,2011,Treatment,both,524828.9047673178
Florida,Hardee,12625120502.735325,27391.0,2012,Treatment,both,460922.2190768984
Florida,Hardee,11051894612.1285,27362.0,2013,Treatment,both,403913.99064865505
Florida,Hardee,10927427321.685,27441.0,2014,Treatment,both,398215.34644090955
Florida,Hendry,59824530474.83,39106.0,2006,Treatment,both,1529804.3899869586
Florida,Hendry,80306773093.45303,39399.0,2007,Treatment,both,2038294.705283206
Florida,Hendry,89969763562.013,39602.0,2008,Treatment,both,2271848.9864656585
Florida,Hendry,91262979487.5165,39594.0,2009,Treatment,both,2304969.931997689
Florida,Hendry,113097348373.31,39140.0,2010,Treatment,both,2889559.232838784
Florida,Hendry,116358883721.90063,38820.0,2011,Treatment,both,2997395.2530113505
Florida,Hendry,83068571490.0,37671.0,2012,Treatment,both,2205106.620211834
Florida,Hendry,55623589178.737495,37730.0,2013,Treatment,both,1474253.6225480386
Florida,Hendry,47642118638.725,38476.0,2014,Treatment,both,1238229.510310973
Florida,Hernando,1560332310647.2566,163551.0,2006,Treatment,both,9540340.998509679
Florida,Hernando,2340818458233.926,168982.0,2007,Treatment,both,13852472.20552441
Florida,Hernando,4108685308836.802,171447.0,2008,Treatment,both,23964754.75707829
Florida,Hernando,5276167576202.014,171233.0,2009,Treatment,both,30812796.45980631
Florida,Hernando,7732693605394.457,172778.0,2010,Treatment,both,44755082.27548911
Florida,Hernando,5385214243112.743,172838.0,2011,Treatment,both,31157582.49408546
Florida,Hernando,3657443818849.048,173047.0,2012,Treatment,both,21135551.722070005
Florida,Hernando,2464554762349.612,174016.0,2013,Treatment,both,14162805.502652697
Florida,Hernando,2058981861859.065,175704.0,2014,Treatment,both,11718468.912825348
Florida,Highlands,168236253487.23004,97265.0,2006,Treatment,both,1729668.9815167845
Florida,Highlands,185164818483.72723,98512.0,2007,Treatment,both,1879616.8840722677
Florida,Highlands,216189460460.466,99034.0,2008,Treatment,both,2182982.212780116
Florida,Highlands,259676659825.09296,98704.0,2009,Treatment,both,2630862.577252117
Florida,Highlands,394448254777.0159,98786.0,2010,Treatment,both,3992957.0463123918
Florida,Highlands,470334652888.5131,98284.0,2011,Treatment,both,4785465.110175747
Florida,Highlands,353105074383.94977,97998.0,2012,Treatment,both,3603186.5383370044
Florida,Highlands,373840282821.114,97762.0,2013,Treatment,both,3823983.5807482866
Florida,Highlands,363826082019.7351,98104.0,2014,Treatment,both,3708575.4099703897
Florida,Hillsborough,111298572720140.84,1158212.0,2006,Treatment,both,96095164.54685397
Florida,Hillsborough,124938970476904.56,1169910.0,2007,Treatment,both,106793659.74895895
Florida,Hillsborough,167723351399802.78,1180118.0,2008,Treatment,both,142124220.9675666
Florida,Hillsborough,249983443601989.03,1195317.0,2009,Treatment,both,209135688.3588111
Florida,Hillsborough,347890876741989.06,1229226.0,2010,Treatment,both,283016204.2960278
Florida,Hillsborough,174745032848295.2,1271399.0,2011,Treatment,both,137443110.18672752
Florida,Hillsborough,91513527809997.34,1281606.0,2012,Treatment,both,71405352.19872358
Florida,Hillsborough,64160938491203.94,1294039.0,2013,Treatment,both,49581920.24444699
Florida,Hillsborough,54814869415746.67,1318325.0,2014,Treatment,both,41579177.680577
Florida,Holmes,7871498392.34,19055.0,2006,Treatment,both,413093.5918310155
Florida,Holmes,9264930413.379875,19119.0,2007,Treatment,both,484592.83505308203
Florida,Holmes,9229760014.335726,19170.0,2008,Treatment,both,481468.962667487
Florida,Holmes,7938109755.695649,19099.0,2009,Treatment,both,415629.6013244489
Florida,Holmes,7136927589.873012,19927.0,2010,Treatment,both,358153.640280675
Florida,Holmes,8729439517.7895,19823.0,2011,Treatment,both,440369.2436961862
Florida,Holmes,10566219386.69,19730.0,2012,Treatment,both,535540.7697257983
Florida,Holmes,11116672102.8,19648.0,2013,Treatment,both,565791.53617671
Florida,Holmes,9000833830.315725,19650.0,2014,Treatment,both,458057.70128833206
Florida,Indian River,582478570654.0702,129980.0,2006,Treatment,both,4481293.819465073
Florida,Indian River,774024897265.5302,132837.0,2007,Treatment,both,5826877.280166897
Florida,Indian River,1014843043617.8848,134293.0,2008,Treatment,both,7556931.810428576
Florida,Indian River,1318336639572.556,135167.0,2009,Treatment,both,9753391.283172341
Florida,Indian River,1874279720152.1504,138028.0,2010,Treatment,both,13578981.946794493
Florida,Indian River,2517310171325.968,138979.0,2011,Treatment,both,18112881.595967505
Florida,Indian River,1751572369904.58,140640.0,2012,Treatment,both,12454297.283166809
Florida,Indian River,1415376698909.12,142021.0,2013,Treatment,both,9965967.701319665
Florida,Indian River,1240996754537.6384,144772.0,2014,Treatment,both,8572077.1595173
Florida,Jackson,36523246477.26,48832.0,2006,Treatment,both,747936.7315952654
Florida,Jackson,45319021932.62,48955.0,2007,Treatment,both,925728.157136554
Florida,Jackson,48068579910.864,50915.0,2008,Treatment,both,944094.6658325444
Florida,Jackson,51770642098.7,50930.0,2009,Treatment,both,1016505.8334714313
Florida,Jackson,62514874396.15,49746.0,2010,Treatment,both,1256681.4295852934
Florida,Jackson,77095050779.0025,49121.0,2011,Treatment,both,1569492.6971967693
Florida,Jackson,89608671518.76001,48977.0,2012,Treatment,both,1829607.1935553425
